Room (PS FACILITY ID),Building Code,Building Name,Zone,Capacity,Reduced Capacity,Furniture type (Survey),Room Type (schedule.smu),Room Type (Survey),Booking,Family,Movable,scheduled fall,Special Exceptions,Power,Cox Tech
CLEM0120,,Clements Hall,Dedman,38,,,Classroom,,,,,,,,
CLEM0126,,Clements Hall,Dedman,45,,,Classroom,,,,,,,,
CLEM0224,,Clements Hall,Dedman,10,,,Classroom,,,,,,,,
CLEM0225,,Clements Hall,Dedman,31,,,Classroom,,,,,,,,
CLEM0324,,Clements Hall,Dedman,23,,,Classroom,,,,,,,,
CLEM0325,,Clements Hall,Dedman,25,,,Classroom,,,,,,,,
CLEM0326,,Clements Hall,Dedman,21,,,Classroom,,,,,,,,
CLEM0334,,Clements Hall,Dedman,27,,,Classroom,,,,,,,,
DALL0101,,Dallas Hall,Dedman,27,,,Classroom,,,,,,,,
DALL0102,,Dallas Hall,Dedman,27,,,Classroom,,,,,,,,
DALL0105,,Dallas Hall,Dedman,22,,,Classroom,,,,,,,,
DALL0106,,Dallas Hall,Dedman,23,,,Classroom,,,,,,,,
DALL0115,,Dallas Hall,Dedman,44,,,Classroom,,,,,,,,
DALL0116,,Dallas Hall,Dedman,45,,,Classroom,,,,,,,,
DALL0120,,Dallas Hall,Dedman,19,,,Classroom,,,,,,,,
DALL0137,,Dallas Hall,Dedman,19,,,Classroom,,,,,,,,
DALL0138,,Dallas Hall,Dedman,19,,,Classroom,,,,,,,,
DALL0142,,Dallas Hall,Dedman,35,,,Classroom,,,,,,,,
DALL0143,,Dallas Hall,Dedman,20,,,Classroom,,,,,,,,
DALL0149,,Dallas Hall,Dedman,24,,,Classroom,,,,,,,,
DALL0152,,Dallas Hall,Dedman,32,,,Classroom,,,,,,,,
DALL0153,,Dallas Hall,Dedman,23,,,Classroom,,,,,,,,
DALL0156,,Dallas Hall,Dedman,27,,,Classroom,,,,,,,,
DALL0157,,Dallas Hall,Dedman,27,,,Classroom,,,,,,,,
DALL0306,,Dallas Hall,Dedman,196,,,Classroom,,,,,,,,
DALL0343,,Dallas Hall,Dedman,15,,,Classroom,,,,,,,,
DALL0351,,Dallas Hall,Dedman,15,,,Classroom,,,,,,,,
DALL0357,,Dallas Hall,Dedman,29,,,Classroom,,,,,,,,
DLSB0110,,Dedman Life Sciences Building,Dedman,57,,,Classroom,,,,,,,,
DLSB0131,,Dedman Life Sciences Building,Dedman,94,,,Classroom,,,,,,,,
DLSB0132,,Dedman Life Sciences Building,Dedman,30,,,Classroom,,,,,,,,
FOSC0123,,Fondren Science Building,Dedman,149,,,Classroom,,,,,,,,
FOSC0133,,Fondren Science Building,Dedman,149,,,Classroom,,,,,,,,
FOSC0152,,Fondren Science Building,Dedman,55,,,Classroom,,,,,,,,
FOSC0153,,Fondren Science Building,Dedman,75,,,Classroom,,,,,,,,
FOSC0155,,Fondren Science Building,Dedman,39,,,Classroom,,,,,,,,
FOSC0157,,Fondren Science Building,Dedman,23,,,Classroom,,,,,,,,
FOSC0158,,Fondren Science Building,Dedman,57,,,Classroom,,,,,,,,
HYER00G1,,Hyer Hall of Physics,Dedman,12,,,Classroom,,,,,,,,
HYER0100,,Hyer Hall of Physics,Dedman,104,,,Classroom,,,,,,,,
HYER0102,,Hyer Hall of Physics,Dedman,35,,,Classroom,,,,,,,,
HYER0106,,Hyer Hall of Physics,Dedman,26,,,Classroom,,,,,,,,
HYER0107,,Hyer Hall of Physics,Dedman,35,,,Classroom,,,,,,,,
HYER0110,,Hyer Hall of Physics,Dedman,39,,,Classroom,,,,,,,,
HYER0111,,Hyer Hall of Physics,Dedman,39,,,Classroom,,,,,,,,
HYER0200,,Hyer Hall of Physics,Dedman,65,,,Classroom,,,,,,,,
HYER0201,,Hyer Hall of Physics,Dedman,40,,,Classroom,,,,,,,,
HYER0204,,Hyer Hall of Physics,Dedman,49,,,Classroom,,,,,,,,
HERY0153,,N.L. Heroy Science Hall,Dedman,48,,,Classroom,,,,,,,,
ULEE0242,,Umphrey Lee Center,Dedman,45,,,Classroom,,,,,,,,
ULEE0303,,Umphrey Lee Center,Dedman,30,,,Classroom,,,,,,,,
CARU0147,,Caruth Hall,Lyle,138,,,Classroom,,,,,,,,
CARU0161,,Caruth Hall,Lyle,30,,,Classroom,,,,,,,,
CARU0179,,Caruth Hall,Lyle,27,,,Classroom,,,,,,,,
CARU0183,,Caruth Hall,Lyle,26,,,Classroom,,,,,,,,
CARU0184,,Caruth Hall,Lyle,26,,,Classroom,,,,,,,,
CARU0379,,Caruth Hall,Lyle,44,,,Classroom,,,,,,,,
CARU0383,,Caruth Hall,Lyle,24,,,Classroom,,,,,,,,
CARU0384,,Caruth Hall,Lyle,29,,,Classroom,,,,,,,,
EMBY0123,,J. Lindsay Embrey Engineering Building,Lyle,24,,,Classroom,,,,,,,,
EMBY0129,,J. Lindsay Embrey Engineering Building,Lyle,24,,,Classroom,,,,,,,,
EMBY0027,,J. Lindsay Embrey Engineering Building,Lyle,20,,,Classroom,,,,,,,,
JKNS0101,,Jerry R. Junkins Engineering Building,Lyle,68,,,Classroom,,,,,,,,
JKNS0110,,Jerry R. Junkins Engineering Building,Lyle,28,,,Classroom,,,,,,,,
JKNS0112,,Jerry R. Junkins Engineering Building,Lyle,30,,,Classroom,,,,,,,,
JKNS0113,,Jerry R. Junkins Engineering Building,Lyle,68,,,Classroom,,,,,,,,
JKNS0203,,Jerry R. Junkins Engineering Building,Lyle,24,,,Classroom,,,,,,,,
JKNS0205,,Jerry R. Junkins Engineering Building,Lyle,24,,,Classroom,,,,,,,,
OFAC1030,,Owen Arts Center,Meadows,20,,,Classroom,,,,,,,,
OFAC1040,,Owen Arts Center,Meadows,20,,,Classroom,,,,,,,,
OFAC1050,,Owen Arts Center,Meadows,20,,,Classroom,,,,,,,,
OFAC1060,,Owen Arts Center,Meadows,35,,,Classroom,,,,,,,,
OFAC2020,,Owen Arts Center,Meadows,44,,,Classroom,,,,,,,,
OFAC2030,,Owen Arts Center,Meadows,20,,,Classroom,,,,,,,,
OFAC2040,,Owen Arts Center,Meadows,20,,,Classroom,,,,,,,,
OFAC2105,,Owen Arts Center,Meadows,18,,,Classroom,,,,,,,,
OFACB600,,Owen Arts Center,Meadows,120,,,Classroom,,,,,,,,
ULEE0117,,Umphrey Lee Center,Meadows,20,,,Classroom,,,,,,,,
ULEE0203,,Umphrey Lee Center,Meadows,16,,,Classroom,,,,,,,,
ULEE0228,,Umphrey Lee Center,Meadows,20,,,Classroom,,,,,,,,
ULEE0233,,Umphrey Lee Center,Meadows,20,,,Classroom,,,,,,,,
ULEE0241,,Umphrey Lee Center,Meadows,100,,,Classroom,,,,,,,,
ULEE0243,,Umphrey Lee Center,Meadows,40,,,Classroom,,,,,,,,
ULEE0244,,Umphrey Lee Center,Meadows,40,,,Classroom,,,,,,,,
PRTH0100,,Elizabeth Perkins Prothro Hall,Theology,48,,,Classroom,,,,,,,,
PRTH0106,,Elizabeth Perkins Prothro Hall,Theology,64,,,Classroom,,,,,,,,
PRTH0200,,Elizabeth Perkins Prothro Hall,Theology,12,,,Classroom,,,,,,,,
